iter	Passed	Remaining
0	122	122349
1	125	62638
2	129	42963
3	132	33056
4	135	27048
5	139	23054
6	143	20393
7	147	18238
8	152	16755
9	163	16176
10	168	15112
11	172	14179
12	175	13354
13	181	12770
14	184	12141
15	188	11566
16	191	11047
17	196	10714
18	199	10321
19	208	10230
20	212	9898
21	215	9568
22	217	9253
23	220	8965
24	223	8725
25	226	8491
26	229	8262
27	232	8067
28	234	7864
29	238	7700
30	240	7518
31	246	7446
32	249	7301
33	255	7254
34	266	7351
35	269	7207
36	274	7157
37	277	7024
38	279	6898
39	282	6775
40	285	6667
41	288	6571
42	290	6472
43	293	6377
44	296	6292
45	299	6206
46	301	6116
47	304	6031
48	307	5958
49	309	5884
50	312	5812
51	315	5744
52	317	5679
53	320	5610
54	322	5546
55	325	5489
56	328	5435
57	331	5384
58	334	5336
59	337	5281
60	341	5254
61	344	5204
62	346	5158
63	349	5107
64	351	5062
65	354	5018
66	357	4975
67	358	4916
68	361	4879
69	364	4836
70	366	4798
71	369	4766
72	372	4725
73	374	4689
74	377	4661
75	380	4624
76	383	4593
77	385	4560
78	388	4531
79	391	4503
80	394	4473
81	396	4441
82	399	4412
83	401	4382
84	403	4341
85	405	4309
86	406	4270
87	409	4240
88	411	4213
89	414	4188
90	416	4165
91	419	4140
92	422	4116
93	425	4097
94	427	4075
95	430	4055
96	433	4032
97	435	4010
98	438	3991
99	441	3973
100	444	3956
101	446	3927
102	448	3907
103	451	3892
104	454	3876
105	460	3880
106	462	3862
107	467	3859
108	469	3840
109	474	3841
110	477	3822
111	481	3817
112	483	3798
113	486	3781
114	489	3765
115	491	3744
116	495	3736
117	497	3721
118	500	3702
119	504	3698
120	507	3690
121	512	3686
122	513	3664
123	517	3656
124	520	3643
125	524	3636
126	528	3632
127	530	3611
128	533	3601
129	536	3587
130	539	3575
131	542	3567
132	545	3553
133	548	3546
134	551	3531
135	555	3528
136	558	3518
137	560	3503
138	563	3491
139	566	3477
140	568	3466
141	571	3454
142	574	3442
143	578	3441
144	581	3428
145	583	3414
146	586	3404
147	589	3392
148	592	3381
149	595	3373
150	597	3361
151	600	3351
152	603	3339
153	605	3328
154	608	3316
155	611	3306
156	614	3297
157	616	3285
158	619	3274
159	622	3265
160	625	3257
161	627	3246
162	630	3237
163	633	3227
164	635	3217
165	638	3207
166	641	3198
167	644	3190
168	647	3181
169	649	3172
170	652	3163
171	655	3153
172	657	3142
173	659	3133
174	662	3124
175	666	3118
176	668	3109
177	671	3100
178	674	3092
179	676	3083
180	678	3067
181	681	3060
182	683	3052
183	686	3044
184	689	3036
185	692	3029
186	696	3026
187	698	3018
188	701	3009
189	704	3001
190	706	2992
191	709	2984
192	711	2976
193	714	2968
194	717	2961
195	720	2953
196	722	2945
197	725	2938
198	728	2930
199	730	2922
200	733	2915
201	735	2906
202	737	2897
203	740	2890
204	743	2882
205	745	2874
206	749	2869
207	751	2862
208	755	2858
209	757	2850
210	760	2843
211	763	2838
212	767	2836
213	771	2832
214	773	2825
215	776	2817
216	779	2811
217	781	2804
218	784	2797
219	787	2790
220	789	2783
221	792	2776
222	794	2769
223	797	2761
224	799	2754
225	802	2748
226	805	2742
227	807	2735
228	810	2727
229	813	2725
230	816	2719
231	819	2713
232	822	2706
233	824	2700
234	827	2694
235	830	2687
236	832	2679
237	835	2673
238	837	2666
239	840	2660
240	842	2653
241	845	2647
242	847	2641
243	850	2634
244	852	2627
245	855	2620
246	858	2616
247	860	2610
248	863	2604
249	866	2599
250	868	2593
251	871	2587
252	874	2582
253	877	2576
254	879	2570
255	882	2564
256	885	2558
257	889	2557
258	892	2552
259	894	2546
260	897	2540
261	899	2534
262	902	2528
263	905	2523
264	907	2517
265	910	2512
266	913	2506
267	915	2501
268	918	2495
269	921	2490
270	924	2485
271	926	2480
272	929	2474
273	931	2468
274	934	2462
275	936	2457
276	939	2451
277	941	2445
278	944	2440
279	946	2435
280	949	2429
281	952	2424
282	954	2418
283	957	2413
284	959	2407
285	962	2401
286	964	2396
287	967	2391
288	969	2385
289	972	2379
290	974	2374
291	977	2369
292	979	2364
293	982	2359
294	985	2354
295	987	2349
296	990	2345
297	993	2340
298	996	2336
299	998	2330
300	1001	2324
301	1003	2319
302	1007	2317
303	1009	2312
304	1012	2307
305	1015	2303
306	1018	2299
307	1021	2295
308	1024	2291
309	1027	2287
310	1030	2282
311	1034	2280
312	1037	2277
313	1040	2272
314	1044	2271
315	1047	2266
316	1050	2262
317	1052	2257
318	1055	2253
319	1058	2249
320	1061	2244
321	1064	2241
322	1067	2237
323	1071	2235
324	1074	2231
325	1077	2227
326	1080	2223
327	1083	2219
328	1088	2219
329	1091	2215
330	1094	2211
331	1097	2207
332	1100	2203
333	1103	2199
334	1105	2195
335	1108	2190
336	1111	2186
337	1114	2182
338	1117	2178
339	1120	2174
340	1122	2169
341	1125	2166
342	1128	2161
343	1132	2159
344	1135	2155
345	1138	2151
346	1142	2149
347	1144	2144
348	1147	2139
349	1149	2135
350	1152	2130
351	1155	2126
352	1157	2122
353	1160	2117
354	1163	2113
355	1166	2109
356	1169	2105
357	1171	2101
358	1174	2096
359	1176	2092
360	1179	2087
361	1181	2083
362	1184	2078
363	1187	2074
364	1189	2069
365	1192	2064
366	1194	2060
367	1197	2055
368	1199	2051
369	1202	2046
370	1204	2042
371	1207	2038
372	1210	2034
373	1214	2032
374	1217	2028
375	1219	2024
376	1222	2020
377	1225	2016
378	1227	2011
379	1230	2007
380	1233	2003
381	1236	2000
382	1239	1996
383	1241	1991
384	1244	1987
385	1247	1984
386	1250	1980
387	1252	1976
388	1255	1971
389	1258	1967
390	1260	1963
391	1265	1962
392	1267	1958
393	1270	1953
394	1274	1951
395	1277	1947
396	1280	1944
397	1282	1940
398	1285	1935
399	1287	1931
400	1291	1928
401	1294	1924
402	1297	1921
403	1299	1917
404	1303	1915
405	1306	1910
406	1308	1907
407	1311	1903
408	1314	1899
409	1316	1895
410	1319	1891
411	1322	1887
412	1325	1884
413	1328	1880
414	1331	1876
415	1334	1873
416	1338	1870
417	1340	1866
418	1343	1863
419	1347	1860
420	1350	1857
421	1352	1852
422	1356	1849
423	1358	1845
424	1361	1842
425	1364	1838
426	1366	1834
427	1369	1830
428	1372	1826
429	1374	1821
430	1377	1818
431	1379	1814
432	1382	1810
433	1385	1806
434	1388	1803
435	1391	1799
436	1394	1796
437	1396	1792
438	1400	1789
439	1402	1785
440	1406	1782
441	1409	1779
442	1412	1775
443	1414	1771
444	1417	1768
445	1420	1764
446	1423	1760
447	1426	1757
448	1429	1753
449	1432	1750
450	1434	1746
